tpm,timestamp
129546,16:24:32
64302,16:24:42
225306,16:24:52
180678,16:25:03
132096,16:25:13
242532,16:25:23
138366,16:25:33
180996,16:25:43
244860,16:25:54
226656,16:26:04
220344,16:26:14
109320,16:26:24
119022,16:26:34
120858,16:26:45
45888,16:26:55
182118,16:27:05
190518,16:27:15
109434,16:27:25
110058,16:27:35
52140,16:27:45
115680,16:27:56
94980,16:28:06
167232,16:28:16
147036,16:28:26
125094,16:28:36
203178,16:28:46
2424,16:28:56
167214,16:29:06
174408,16:29:16
196110,16:29:26
192648,16:29:37
156480,16:29:47
23610,16:29:57
193386,16:30:07
197070,16:30:17
177618,16:30:27
180462,16:30:37
31128,16:30:51
187806,16:31:01
167298,16:31:11
167310,16:31:21
162066,16:31:32
85794,16:31:42
85932,16:31:52
145122,16:32:02
127140,16:32:12
124416,16:32:22
99654,16:32:32
80970,16:32:42
112170,16:32:53
46134,16:33:03
97014,16:33:13
184212,16:33:23
171588,16:33:33
199314,16:33:43
118482,16:33:53
105546,16:34:03
184464,16:34:13
222714,16:34:23
40368,16:35:32
6,16:35:33
6,16:35:33
6,16:35:33
6,16:35:33
6,16:35:33
