Timestamp,CPU_Usage_Percent,RAM_Used_MB 
2025-06-08_14:06:51,66,11854 
2025-06-08_14:07:03,68,11851 
2025-06-08_14:07:15,79,11857 
2025-06-08_14:07:27,70,11861 
2025-06-08_14:07:39,87,11795 
2025-06-08_14:07:51,36,11776 
2025-06-08_14:08:03,77,11779 
2025-06-08_14:08:15,83,11793 
2025-06-08_14:08:27,74,11812 
2025-06-08_14:08:39,88,11809 
2025-06-08_14:08:51,76,11823 
2025-06-08_14:09:03,90,11809 
2025-06-08_14:09:15,84,11784 
2025-06-08_14:09:27,80,11770 
2025-06-08_14:09:39,79,11758 
2025-06-08_14:09:51,85,11774 
2025-06-08_14:10:03,76,11782 
2025-06-08_14:10:15,76,11774 
2025-06-08_14:10:27,80,11748 
2025-06-08_14:10:39,83,11666 
2025-06-08_14:10:51,76,11683 
2025-06-08_14:11:03,76,11692 
2025-06-08_14:11:15,88,11684 
2025-06-08_14:11:27,77,11703 
2025-06-08_14:11:39,85,11707 
2025-06-08_14:11:51,70,11723 
2025-06-08_14:12:03,76,11732 
2025-06-08_14:12:15,90,11735 
2025-06-08_14:12:27,71,11743 
2025-06-08_14:12:39,80,11762 
2025-06-08_14:12:51,79,11787 
2025-06-08_14:13:03,82,11774 
2025-06-08_14:13:15,73,11785 
2025-06-08_14:13:27,85,11800 
2025-06-08_14:13:39,71,11817 
2025-06-08_14:13:51,87,11820 
2025-06-08_14:14:03,49,11853 
2025-06-08_14:14:14,5,11857 
2025-06-08_14:14:25,4,11863 
2025-06-08_14:14:36,1,11861 
2025-06-08_14:14:47,2,11862 
2025-06-08_14:14:58,1,11861 
2025-06-08_14:15:09,3,11839 
2025-06-08_14:15:20,4,11766 
2025-06-08_14:15:31,85,11868 
2025-06-08_14:15:43,91,11837 
2025-06-08_14:15:55,91,11853 
2025-06-08_14:16:07,97,11865 
2025-06-08_14:16:19,96,11869 
2025-06-08_14:16:31,99,11851 
2025-06-08_14:16:43,93,11878 
2025-06-08_14:16:55,91,11889 
2025-06-08_14:17:07,76,11929 
2025-06-08_14:17:19,86,11920 
2025-06-08_14:17:31,10,11965 
2025-06-08_14:17:43,82,11939 
2025-06-08_14:17:55,76,11921 
2025-06-08_14:18:07,71,11898 
2025-06-08_14:18:19,67,11903 
2025-06-08_14:18:31,77,11893 
2025-06-08_14:18:43,79,11897 
2025-06-08_14:18:55,62,11913 
2025-06-08_14:19:07,67,11924 
2025-06-08_14:19:19,71,11935 
2025-06-08_14:19:31,37,11924 
2025-06-08_14:19:43,6,11916 
