tpm,timestamp
71988,13:49:52
76650,13:50:02
78756,13:50:12
78828,13:50:22
75720,13:50:32
75870,13:50:42
78738,13:50:53
81396,13:51:03
84198,13:51:13
91362,13:51:23
94800,13:51:33
92646,13:51:43
94578,13:51:53
95622,13:52:03
97008,13:52:13
99204,13:52:23
99636,13:52:33
100338,13:52:43
80778,13:52:54
101910,13:53:04
99186,13:53:14
102498,13:53:24
101148,13:53:34
102588,13:53:44
86118,13:53:54
92550,13:54:04
101244,13:54:14
103200,13:54:24
100380,13:54:34
100716,13:54:44
101268,13:54:55
98658,13:55:05
101910,13:55:15
101190,13:55:25
100632,13:55:35
100404,13:55:45
102426,13:55:55
98292,13:56:05
101724,13:56:15
99438,13:56:25
99384,13:56:35
98256,13:56:45
101352,13:56:56
101958,13:57:06
101034,13:57:16
99594,13:57:26
100362,13:57:36
99756,13:57:46
100302,13:57:56
98916,13:58:06
97260,13:58:16
100860,13:58:26
100800,13:58:36
98520,13:58:46
100578,13:58:57
99060,13:59:07
102600,13:59:17
100386,13:59:27
98442,13:59:37
67944,13:59:47
