tpm,timestamp
91728,14:49:04
87666,14:49:14
79914,14:49:25
78036,14:49:35
72486,14:49:45
73344,14:49:55
90408,14:50:05
74994,14:50:15
80550,14:50:25
92412,14:50:36
76524,14:50:46
73068,14:50:56
75264,14:51:06
94302,14:51:16
78012,14:51:26
72834,14:51:36
94614,14:51:46
95082,14:51:57
80664,14:52:07
74454,14:52:17
94134,14:52:27
78120,14:52:37
74004,14:52:47
79434,14:52:57
86124,14:53:08
76026,14:53:18
81882,14:53:28
94440,14:53:38
33786,14:53:48
74526,14:53:58
97794,14:54:08
92640,14:54:18
80010,14:54:29
75330,14:54:39
79170,14:54:49
92994,14:54:59
78828,14:55:09
73104,14:55:19
96348,14:55:29
81000,14:55:40
73380,14:55:50
93978,14:56:00
81426,14:56:10
78834,14:56:20
90246,14:56:30
89052,14:56:40
80064,14:56:51
79284,14:57:01
102480,14:57:11
78492,14:57:21
74028,14:57:31
64380,14:57:41
92670,14:57:51
75960,14:58:01
68112,14:58:12
103200,14:58:22
81120,14:58:32
77352,14:58:42
78288,14:58:52
38436,14:59:59
