Timestamp,CPU_Usage_Percent,RAM_Used_MB 
2025-06-08_15:18:30,48,15095 
2025-06-08_15:18:42,40,15084 
2025-06-08_15:18:54,71,15086 
2025-06-08_15:19:06,34,15080 
2025-06-08_15:19:17,80,15078 
2025-06-08_15:19:29,45,15079 
2025-06-08_15:19:41,20,15082 
2025-06-08_15:19:52,51,15091 
2025-06-08_15:20:04,80,15086 
2025-06-08_15:20:16,39,15077 
2025-06-08_15:20:28,71,15081 
2025-06-08_15:20:40,51,15082 
2025-06-08_15:20:52,63,15076 
2025-06-08_15:21:03,74,15093 
2025-06-08_15:21:14,71,15080 
2025-06-08_15:21:26,32,15091 
2025-06-08_15:21:37,39,15088 
2025-06-08_15:21:49,68,15093 
2025-06-08_15:22:01,42,15080 
2025-06-08_15:22:13,65,15075 
2025-06-08_15:22:25,54,15079 
2025-06-08_15:22:37,42,15074 
2025-06-08_15:22:49,76,15089 
2025-06-08_15:23:01,72,15082 
2025-06-08_15:23:13,19,15082 
2025-06-08_15:23:24,47,15019 
2025-06-08_15:23:36,69,15040 
2025-06-08_15:23:48,43,15043 
2025-06-08_15:24:00,46,15074 
2025-06-08_15:24:12,69,15066 
2025-06-08_15:24:24,53,15066 
2025-06-08_15:24:35,67,15085 
2025-06-08_15:24:47,22,15082 
2025-06-08_15:24:58,18,15077 
2025-06-08_15:25:09,42,15077 
2025-06-08_15:25:20,69,15090 
2025-06-08_15:25:32,60,15118 
2025-06-08_15:25:44,66,15126 
2025-06-08_15:25:56,8,15169 
2025-06-08_15:26:08,6,15152 
2025-06-08_15:26:19,3,15148 
2025-06-08_15:26:30,9,15150 
2025-06-08_15:26:41,4,15153 
2025-06-08_15:26:52,3,15151 
2025-06-08_15:27:03,4,15105 
2025-06-08_15:27:14,97,15158 
2025-06-08_15:27:26,74,15170 
2025-06-08_15:27:38,100,15175 
2025-06-08_15:27:50,97,15161 
2025-06-08_15:28:02,94,15196 
2025-06-08_15:28:14,93,15191 
2025-06-08_15:28:26,85,15216 
2025-06-08_15:28:39,82,15222 
2025-06-08_15:28:51,88,15252 
2025-06-08_15:29:03,93,15262 
2025-06-08_15:29:15,79,15308 
2025-06-08_15:29:27,77,15347 
2025-06-08_15:29:39,71,15377 
2025-06-08_15:29:51,70,15328 
2025-06-08_15:30:03,85,15343 
2025-06-08_15:30:15,73,15327 
2025-06-08_15:30:27,73,15346 
2025-06-08_15:30:39,68,15336 
2025-06-08_15:30:51,74,15346 
2025-06-08_15:31:03,18,15292 
2025-06-08_15:31:14,74,15352 
2025-06-08_15:31:26,31,15207 
2025-06-08_15:31:38,62,15208 
2025-06-08_15:31:50,63,15195 
2025-06-08_15:32:02,68,15197 
2025-06-08_15:32:14,38,15198 
2025-06-08_15:32:26,58,15212 
2025-06-08_15:32:38,45,15213 
2025-06-08_15:32:49,48,15207 
2025-06-08_15:33:01,44,15207 
2025-06-08_15:33:13,57,15203 
2025-06-08_15:33:25,40,15195 
2025-06-08_15:33:36,60,15196 
2025-06-08_15:33:48,59,15196 
2025-06-08_15:34:00,49,15191 
2025-06-08_15:34:12,72,15190 
2025-06-08_15:34:24,51,15203 
2025-06-08_15:34:35,56,15177 
2025-06-08_15:34:47,71,15256 
2025-06-08_15:34:59,61,15342 
2025-06-08_15:35:11,51,15346 
2025-06-08_15:35:23,68,15345 
2025-06-08_15:35:27,48,15323 
2025-06-08_15:35:38,53,15290 
2025-06-08_15:35:50,82,15281 
2025-06-08_15:36:02,32,15276 
2025-06-08_15:36:14,53,15253 
2025-06-08_15:36:25,77,14845 
2025-06-08_15:36:37,62,14806 
2025-06-08_15:36:49,65,14788 
2025-06-08_15:37:01,62,14684 
2025-06-08_15:37:13,69,14557 
2025-06-08_15:37:25,39,14540 
2025-06-08_15:37:37,79,14547 
2025-06-08_15:37:49,51,14544 
2025-06-08_15:38:01,30,14504 
2025-06-08_15:38:12,49,14512 
2025-06-08_15:38:23,60,14525 
2025-06-08_15:38:35,79,14506 
2025-06-08_15:38:47,40,14514 
2025-06-08_15:38:59,44,14421 
2025-06-08_15:39:11,40,14465 
2025-06-08_15:39:23,23,14460 
2025-06-08_15:39:34,70,14452 
2025-06-08_15:39:46,8,14518 
2025-06-08_15:39:57,72,14483 
2025-06-08_15:40:09,34,14460 
2025-06-08_15:40:21,60,14476 
2025-06-08_15:40:33,70,14476 
2025-06-08_15:40:44,59,14453 
2025-06-08_15:40:56,43,14465 
2025-06-08_15:41:08,5,13828 
2025-06-08_15:41:19,3,13831 
2025-06-08_15:41:30,2,13847 
2025-06-08_15:41:41,3,13847 
2025-06-08_15:41:52,5,13852 
2025-06-08_15:42:03,2,13855 
2025-06-08_15:42:14,4,13797 
2025-06-08_15:42:26,76,13748 
2025-06-08_15:42:38,88,13752 
2025-06-08_15:42:50,97,13770 
