tpm,timestamp
179448,15:31:13
246612,15:31:23
128724,15:31:34
144444,15:31:44
154128,15:31:54
187560,15:32:04
163002,15:32:14
123996,15:32:24
177744,15:32:34
125676,15:32:44
111852,15:32:55
165210,15:33:05
193656,15:33:15
106554,15:33:25
156492,15:33:35
185292,15:33:45
114384,15:33:55
142116,15:34:05
194820,15:34:16
120810,15:34:26
146058,15:34:36
186012,15:34:46
138000,15:34:56
111750,15:35:06
173964,15:35:16
172452,15:35:26
111000,15:35:36
115320,15:35:46
209430,15:35:57
117582,15:36:07
78084,15:36:17
163500,15:36:27
128394,15:36:37
167496,15:36:47
118758,15:36:57
126696,15:37:07
198804,15:37:18
136932,15:37:28
170898,15:37:38
177042,15:37:48
177858,15:37:58
93462,15:38:08
112368,15:38:18
177876,15:38:28
178308,15:38:39
118992,15:38:49
150042,15:38:59
190818,15:39:09
140556,15:39:19
90432,15:39:29
119016,15:39:39
90078,15:39:49
130068,15:39:59
191220,15:40:10
121722,15:40:20
136968,15:40:30
141612,15:40:40
192618,15:40:50
138030,15:41:00
91872,15:41:10
