tpm,timestamp
184620,15:16:03
216000,15:16:13
157344,15:16:23
169206,15:16:33
201672,15:16:43
148302,15:16:53
170580,15:17:04
194772,15:17:14
106914,15:17:24
137952,15:17:34
202908,15:17:44
173646,15:17:54
72252,15:18:04
153342,15:18:14
201870,15:18:25
158082,15:18:35
146268,15:18:45
203520,15:18:55
168738,15:19:05
135966,15:19:15
210042,15:19:25
172596,15:19:35
82500,15:19:45
158148,15:19:56
206742,15:20:06
154410,15:20:16
129348,15:20:26
203832,15:20:36
166032,15:20:46
134916,15:20:56
112428,15:21:06
201486,15:21:17
108678,15:21:27
116658,15:21:37
185418,15:21:47
182112,15:21:57
148662,15:22:07
173982,15:22:17
190566,15:22:27
144378,15:22:37
163782,15:22:48
112428,15:22:58
176382,15:23:08
80358,15:23:18
143670,15:23:28
190938,15:23:38
175980,15:23:48
129906,15:23:58
190752,15:24:09
180012,15:24:19
138006,15:24:29
178458,15:24:39
167832,15:24:49
59142,15:24:59
133854,15:25:09
159768,15:25:19
202146,15:25:29
148458,15:25:40
154920,15:25:50
111432,15:26:00
