tpm,timestamp
40668,13:37:12
43464,13:37:22
45936,13:37:32
43548,13:37:42
43908,13:37:52
44154,13:38:02
44064,13:38:12
45624,13:38:22
47064,13:38:33
47232,13:38:43
48756,13:38:53
49314,13:39:03
49644,13:39:13
49908,13:39:23
49536,13:39:33
49062,13:39:43
48720,13:39:53
49110,13:40:03
49680,13:40:14
50892,13:40:24
50274,13:40:34
48840,13:40:44
49374,13:40:54
49218,13:41:04
48792,13:41:14
49038,13:41:24
50754,13:41:34
49716,13:41:44
50394,13:41:54
50814,13:42:05
50070,13:42:15
48990,13:42:25
50094,13:42:35
48744,13:42:45
49608,13:42:55
49530,13:43:05
50238,13:43:15
48942,13:43:25
50922,13:43:35
49656,13:43:46
47976,13:43:56
48714,13:44:06
45144,13:44:16
49440,13:44:26
49392,13:44:36
49500,13:44:46
50670,13:44:56
49560,13:45:06
48798,13:45:16
49584,13:45:27
50118,13:45:37
50562,13:45:47
49410,13:45:57
49260,13:46:07
50046,13:46:17
49800,13:46:27
50328,13:46:37
49920,13:46:47
50754,13:46:58
29340,13:48:05
