Timestamp,CPU_Usage_Percent,RAM_Used_MB 
2025-06-06_16:49:02,77,9139 
2025-06-06_16:49:14,76,8960 
2025-06-06_16:49:26,87,9120 
2025-06-06_16:49:38,70,9161 
2025-06-06_16:49:50,73,9112 
2025-06-06_16:50:02,79,9084 
2025-06-06_16:50:14,8,9117 
2025-06-06_16:50:25,82,9165 
2025-06-06_16:50:37,76,9039 
2025-06-06_16:50:49,69,9044 
2025-06-06_16:51:01,82,9084 
2025-06-06_16:51:13,88,9096 
2025-06-06_16:51:25,76,9202 
2025-06-06_16:51:37,83,9128 
2025-06-06_16:51:49,71,9146 
2025-06-06_16:52:01,52,9161 
2025-06-06_16:52:14,80,9189 
2025-06-06_16:52:26,84,9202 
2025-06-06_16:52:42,73,8906 
2025-06-06_16:52:54,79,9188 
2025-06-06_16:53:06,76,9134 
2025-06-06_16:53:18,82,9244 
2025-06-06_16:53:30,77,9354 
2025-06-06_16:53:42,20,9227 
2025-06-06_16:53:54,79,9390 
2025-06-06_16:54:06,65,9133 
2025-06-06_16:54:18,77,9546 
2025-06-06_16:54:30,77,9228 
2025-06-06_16:54:42,77,9407 
2025-06-06_16:54:54,70,9411 
2025-06-06_16:55:06,71,9381 
2025-06-06_16:55:18,88,9542 
2025-06-06_16:55:32,84,9235 
2025-06-06_16:55:44,74,9542 
2025-06-06_16:55:56,71,9543 
2025-06-06_16:56:08,4,9399 
2025-06-06_16:56:19,3,9385 
2025-06-06_16:56:30,2,9347 
2025-06-06_16:56:41,1,9312 
2025-06-06_16:56:52,0,9286 
2025-06-06_16:57:03,0,9262 
2025-06-06_16:57:14,2,9245 
2025-06-06_16:57:25,3,9021 
2025-06-06_16:57:36,4,9022 
2025-06-06_16:57:48,12,9040 
2025-06-06_16:57:59,90,9324 
2025-06-06_16:58:11,90,9500 
2025-06-06_16:58:23,93,9597 
2025-06-06_16:58:35,90,9449 
2025-06-06_16:58:47,100,9627 
2025-06-06_16:58:59,97,9315 
2025-06-06_16:59:11,87,9706 
2025-06-06_16:59:23,83,9771 
2025-06-06_16:59:35,82,9551 
2025-06-06_16:59:47,37,9402 
2025-06-06_16:59:58,65,9614 
2025-06-06_17:00:09,59,9436 
2025-06-06_17:00:20,64,9688 
2025-06-06_17:00:32,40,9475 
2025-06-06_17:00:44,53,9584 
2025-06-06_17:00:55,62,9560 
2025-06-06_17:01:06,26,9539 
2025-06-06_17:01:17,72,9580 
2025-06-06_17:01:29,3,9363 
2025-06-06_17:01:40,57,9418 
2025-06-06_17:01:51,66,9721 
2025-06-06_17:02:04,85,9359 
2025-06-06_17:02:16,63,9568 
2025-06-06_17:02:29,94,9788 
2025-06-06_17:02:42,96,9570 
2025-06-06_17:02:54,94,9674 
2025-06-06_17:03:07,94,9501 
2025-06-06_17:03:19,70,9565 
2025-06-06_17:03:32,91,9578 
2025-06-06_17:03:45,85,9554 
2025-06-06_17:03:58,91,9414 
2025-06-06_17:04:13,99,9310 
2025-06-06_17:04:25,66,9542 
2025-06-06_17:04:37,94,9447 
2025-06-06_17:04:49,99,9408 
2025-06-06_17:05:01,93,9583 
2025-06-06_17:05:15,94,9580 
2025-06-06_17:05:27,96,9375 
2025-06-06_17:05:39,99,9496 
2025-06-06_17:05:52,37,9657 
2025-06-06_17:06:03,99,9600 
2025-06-06_17:06:15,99,9675 
2025-06-06_17:06:28,2,9702 
2025-06-06_17:06:46,85,9839 
2025-06-06_17:06:58,63,9721 
2025-06-06_17:07:10,85,9457 
2025-06-06_17:07:22,99,9666 
2025-06-06_17:07:34,97,9633 
2025-06-06_17:07:48,94,9546 
2025-06-06_17:08:00,93,9675 
2025-06-06_17:08:12,66,9541 
2025-06-06_17:08:24,93,9662 
2025-06-06_17:08:36,90,9483 
2025-06-06_17:08:59,96,9595 
2025-06-06_17:09:12,90,9653 
2025-06-06_17:09:25,66,9548 
2025-06-06_17:09:38,94,9770 
2025-06-06_17:09:51,93,9667 
2025-06-06_17:10:03,93,9727 
2025-06-06_17:10:18,96,9594 
2025-06-06_17:10:29,55,9835 
2025-06-06_17:10:44,42,9491 
2025-06-06_17:10:56,28,9715 
2025-06-06_17:11:11,93,9679 
2025-06-06_17:11:24,91,9614 
2025-06-06_17:11:36,93,9520 
2025-06-06_17:11:48,94,9664 
