tpm,timestamp
146868,15:50:59
587202,15:51:09
532734,15:51:19
275268,15:51:30
499308,15:51:40
580890,15:51:50
490080,15:52:00
62460,15:52:10
514728,15:52:20
488094,15:52:30
390018,15:52:40
433500,15:52:50
542376,15:53:00
469602,15:53:10
275082,15:53:20
529278,15:53:30
372198,15:53:41
132108,15:53:51
340902,15:54:01
171462,15:54:11
118032,15:54:21
469998,15:54:31
246546,15:54:41
2136,15:54:52
224052,15:55:01
296904,15:55:11
235188,15:55:22
309384,15:55:32
432534,15:55:48
379692,15:55:58
451008,15:56:08
190134,15:56:18
385158,15:56:28
212448,15:56:39
460968,15:56:49
557784,15:56:59
326538,15:57:09
422034,15:57:19
268842,15:57:31
269136,15:57:41
406020,15:57:59
426180,15:58:09
381006,15:58:19
202320,15:58:29
395364,15:58:39
141768,15:58:49
292176,15:59:00
414678,15:59:15
435804,15:59:25
475500,15:59:35
207198,15:59:46
502248,15:59:56
263910,16:00:06
150090,16:00:16
483330,16:00:26
246672,16:00:36
174870,16:00:46
365406,16:00:56
12,16:01:06
6,16:02:08
6,16:02:08
6,16:02:08
6,16:02:08
6,16:02:08
120,16:02:08
