Timestamp,CPU_Usage_Percent,RAM_Used_MB
2025-06-06_16:57:43,100,14202
2025-06-06_16:57:53,81.62,14196
2025-06-06_16:58:04,88.89,14209
2025-06-06_16:58:14,100,14209
2025-06-06_16:58:24,100,14177
2025-06-06_16:58:34,99.26,14175
2025-06-06_16:58:45,92.47,14179
2025-06-06_16:58:55,97.71,14176
2025-06-06_16:59:05,100,14210
2025-06-06_16:59:16,97.37,14206
2025-06-06_16:59:26,100,14178
2025-06-06_16:59:36,100,14186
2025-06-06_16:59:47,100,14178
2025-06-06_16:59:57,97.19,14192
2025-06-06_17:00:07,98.51,14219
2025-06-06_17:00:17,97.06,14185
2025-06-06_17:00:28,99.33,14218
2025-06-06_17:00:38,99.24,14188
2025-06-06_17:00:48,100,14195
2025-06-06_17:00:59,100,14194
2025-06-06_17:01:09,92.26,14221
2025-06-06_17:01:19,99.27,14195
2025-06-06_17:01:29,100,14193
2025-06-06_17:01:40,98.49,14215
2025-06-06_17:01:50,100,14193
2025-06-06_17:02:00,98.44,14193
2025-06-06_17:02:11,100,14194
2025-06-06_17:02:21,91.04,14224
2025-06-06_17:02:31,100,14194
2025-06-06_17:02:41,99.24,14223
2025-06-06_17:02:52,100,14194
2025-06-06_17:03:02,98.59,14214
2025-06-06_17:03:12,100,14197
2025-06-06_17:03:23,100,14199
2025-06-06_17:03:33,99.28,14241
2025-06-06_17:03:43,100,14217
2025-06-06_17:03:53,97.0,14223
2025-06-06_17:04:04,100,14254
2025-06-06_17:04:14,96.56,14226
2025-06-06_17:04:24,100,14216
2025-06-06_17:04:35,100,14223
2025-06-06_17:04:45,98.43,14230
2025-06-06_17:04:55,99.29,14228
2025-06-06_17:05:06,99.24,14251
2025-06-06_17:05:16,99.25,14223
2025-06-06_17:05:26,96.25,14240
2025-06-06_17:05:36,100,14220
2025-06-06_17:05:47,100,14223
2025-06-06_17:05:57,99.24,14217
2025-06-06_17:06:07,98.64,14250
2025-06-06_17:06:18,99.25,14224
2025-06-06_17:06:28,99.22,14225
2025-06-06_17:06:38,100,14233
2025-06-06_17:06:48,93.34,14220
2025-06-06_17:06:59,98.51,14223
2025-06-06_17:07:09,99.23,14258
2025-06-06_17:07:19,100,14239
2025-06-06_17:07:30,98.45,14222
2025-06-06_17:07:40,100,14224
2025-06-06_17:07:50,100,14224
2025-06-06_17:08:00,88.03,14229
2025-06-06_17:08:11,25.21,14243
2025-06-06_17:08:21,13.05,14257
2025-06-06_17:08:31,16.79,14230
2025-06-06_17:08:41,16.09,14231
2025-06-06_17:08:52,13.48,14184
2025-06-06_17:09:02,15.11,14160
2025-06-06_17:09:12,14.29,14038
2025-06-06_17:09:22,100,12999
2025-06-06_17:09:33,100,13524
2025-06-06_17:09:43,100,13935
2025-06-06_17:09:53,98.58,14163
2025-06-06_17:10:04,99.31,14303
2025-06-06_17:10:14,100,14304
2025-06-06_17:10:24,100,14306
2025-06-06_17:10:35,100,14314
2025-06-06_17:10:45,100,14313
2025-06-06_17:10:55,100,14310
2025-06-06_17:11:06,100,14324
2025-06-06_17:11:16,100,14309
2025-06-06_17:11:26,100,14315
2025-06-06_17:11:37,100,14313
2025-06-06_17:11:47,100,14308
2025-06-06_17:11:57,100,14316
2025-06-06_17:12:08,100,14321
2025-06-06_17:12:18,100,14312
2025-06-06_17:12:28,100,14312
2025-06-06_17:12:38,100,14314
2025-06-06_17:12:49,100,14320
2025-06-06_17:12:59,98.75,14314
2025-06-06_17:13:09,99.36,14321
2025-06-06_17:13:20,100,14319
2025-06-06_17:13:30,79.86,14317
2025-06-06_17:13:40,99.29,14319
2025-06-06_17:13:51,99.26,14290
2025-06-06_17:14:01,97.09,14312
2025-06-06_17:14:11,95.90,14303
2025-06-06_17:14:22,99.25,14293
2025-06-06_17:14:32,96.3,14293
2025-06-06_17:14:42,94.45,14328
2025-06-06_17:14:52,99.25,14341
2025-06-06_17:15:03,96.5,14335
2025-06-06_17:15:13,98.44,14336
2025-06-06_17:15:23,96.06,14373
2025-06-06_17:15:34,99.26,14367
2025-06-06_17:15:44,98.49,14334
2025-06-06_17:15:54,97.83,14363
2025-06-06_17:16:04,100,14339
2025-06-06_17:16:15,100,14339
2025-06-06_17:16:25,99.25,14364
2025-06-06_17:16:35,95.55,14377
2025-06-06_17:16:46,99.24,14354
2025-06-06_17:16:56,97.71,14354
2025-06-06_17:17:06,99.26,14370
2025-06-06_17:17:16,96.03,14363
2025-06-06_17:17:27,98.58,14354
2025-06-06_17:17:37,98.48,14389
2025-06-06_17:17:47,96.67,14384
2025-06-06_17:17:58,99.26,14354
2025-06-06_17:18:08,100,14365
2025-06-06_17:18:18,100,14397
2025-06-06_17:18:29,99.33,14385
2025-06-06_17:18:39,100,14353
2025-06-06_17:18:49,100,14358
2025-06-06_17:19:00,100,14390
2025-06-06_17:19:10,99.24,14385
2025-06-06_17:19:20,97.82,14359
2025-06-06_17:19:30,98.56,14397
2025-06-06_17:19:41,96.46,14363
2025-06-06_17:19:51,96.7,14364
2025-06-06_17:20:01,100,14361
2025-06-06_17:20:12,96.84,14358
2025-06-06_17:20:22,100,14362
2025-06-06_17:20:32,98.53,14390
2025-06-06_17:20:43,99.25,14374
2025-06-06_17:20:53,97.25,14361
2025-06-06_17:21:03,100,14359
2025-06-06_17:21:13,98.53,14365
2025-06-06_17:21:24,93.16,14388
2025-06-06_17:21:34,99.23,14400
2025-06-06_17:21:44,100,14362
2025-06-06_17:21:55,100,14366
2025-06-06_17:22:05,96.03,14372
2025-06-06_17:22:15,97.75,14362
2025-06-06_17:22:25,98.50,14363
2025-06-06_17:22:36,99.25,14397
2025-06-06_17:22:46,99.30,14366
2025-06-06_17:22:56,97.11,14364
2025-06-06_17:23:07,97.75,14376
2025-06-06_17:23:17,98.02,14389
2025-06-06_17:23:27,98.49,14366
2025-06-06_17:23:37,40.9,14399
2025-06-06_17:23:48,27.28,14403
