tpm,timestamp
149040,16:26:10
161262,16:26:20
156186,16:26:30
150276,16:26:40
158190,16:26:50
151170,16:27:00
147858,16:27:10
150780,16:27:20
151356,16:27:30
147696,16:27:40
145482,16:27:50
155460,16:28:00
148680,16:28:10
146184,16:28:20
145824,16:28:30
151188,16:28:40
145824,16:28:50
144426,16:29:00
148668,16:29:10
151362,16:29:20
143568,16:29:30
143250,16:29:40
147852,16:29:51
144954,16:30:01
142596,16:30:11
151326,16:30:21
152970,16:30:31
145230,16:30:41
143466,16:30:51
151548,16:31:01
145584,16:31:11
144132,16:31:21
150486,16:31:31
148314,16:31:41
143820,16:31:51
143856,16:32:01
151872,16:32:11
145380,16:32:21
142632,16:32:31
141054,16:32:41
141678,16:32:51
141738,16:33:01
141978,16:33:11
141348,16:33:21
142470,16:33:31
140316,16:33:41
112080,16:33:51
59658,16:34:01
83304,16:34:11
91308,16:34:21
77226,16:34:31
18672,16:34:41
60120,16:34:51
81408,16:35:01
39450,16:35:12
27282,16:35:22
50670,16:35:32
27420,16:35:42
48648,16:35:52
26304,16:36:02
30,16:36:12
3930,16:37:20
