tpm,timestamp
469746,14:49:13
661302,14:49:23
634140,14:49:33
478632,14:49:43
631668,14:49:53
589494,14:50:04
552978,14:50:13
509022,14:50:23
304758,14:50:33
369966,14:50:43
425610,14:50:53
459384,14:51:04
560466,14:51:14
550530,14:51:24
472218,14:51:34
511290,14:51:44
520980,14:51:54
473070,14:52:04
578172,14:52:14
507522,14:52:24
524772,14:52:34
534618,14:52:44
526248,14:52:54
534420,14:53:04
544236,14:53:14
450498,14:53:24
294756,14:53:34
239838,14:53:44
33708,14:53:54
12348,14:54:04
13338,14:54:14
10884,14:54:24
19824,14:54:34
290058,14:54:44
307158,14:54:54
303156,14:55:04
329130,14:55:14
309150,14:55:24
295692,14:55:34
270576,14:55:44
32394,14:55:54
21054,14:56:04
20100,14:56:14
19932,14:56:24
96426,14:56:34
359760,14:56:44
366024,14:56:54
345420,14:57:04
245514,14:57:14
130596,14:57:24
83226,14:57:34
56742,14:57:44
60546,14:57:54
42738,14:58:04
37620,14:58:14
23388,14:58:24
22728,14:58:35
21756,14:58:45
19950,14:58:55
18402,14:59:05
15414,14:59:15
216,15:00:23
66,15:00:23
6,15:00:23
18,15:00:23
18,15:00:23
6,15:00:23
