tpm,timestamp
239196,16:38:55
259674,16:39:05
266442,16:39:15
260238,16:39:25
264978,16:39:35
262494,16:39:45
262272,16:39:55
265152,16:40:05
261630,16:40:15
266886,16:40:25
263640,16:40:35
266688,16:40:45
262188,16:40:55
265170,16:41:05
264900,16:41:15
264402,16:41:25
266262,16:41:35
260574,16:41:45
266886,16:41:55
262620,16:42:05
264372,16:42:15
262446,16:42:25
262770,16:42:35
264114,16:42:45
262146,16:42:55
266376,16:43:05
261048,16:43:15
264540,16:43:25
262422,16:43:35
263838,16:43:45
262620,16:43:55
258906,16:44:05
265260,16:44:15
261492,16:44:25
265230,16:44:35
261894,16:44:45
264774,16:44:55
264606,16:45:05
261744,16:45:15
265302,16:45:25
259974,16:45:35
264528,16:45:45
261966,16:45:55
268278,16:46:05
262554,16:46:16
266790,16:46:26
262554,16:46:36
263760,16:46:46
265950,16:46:56
262590,16:47:06
267018,16:47:16
260076,16:47:26
264336,16:47:36
260262,16:47:46
264342,16:47:56
260538,16:48:06
262806,16:48:16
263850,16:48:26
263706,16:48:36
250650,16:48:46
