Database,VU,NOPM
MariaDB,2,51693
MariaDB,4,113358
MariaDB,8,127676
MariaDB,12,127913
MySQL,2,62656
MySQL,4,92256
MySQL,8,128885
MySQL,12,132714
PostgreSQL,2,67169
PostgreSQL,4,108775
PostgreSQL,8,163302
PostgreSQL,12,135722
