tpm,timestamp
258498,17:08:11
300138,17:08:21
309264,17:08:31
307716,17:08:41
307632,17:08:51
306084,17:09:01
302898,17:09:11
309234,17:09:21
303588,17:09:31
301182,17:09:41
303120,17:09:51
305406,17:10:01
307494,17:10:11
305664,17:10:21
303714,17:10:31
302670,17:10:41
302022,17:10:51
306222,17:11:01
303210,17:11:11
307224,17:11:21
291612,17:11:31
291258,17:11:41
297384,17:11:51
298578,17:12:01
297840,17:12:11
302970,17:12:21
284046,17:12:31
262014,17:12:41
278466,17:12:52
288072,17:13:02
294438,17:13:12
295044,17:13:22
296646,17:13:32
296232,17:13:42
301140,17:13:52
297006,17:14:02
299820,17:14:12
299076,17:14:22
295554,17:14:32
298416,17:14:42
299556,17:14:52
299010,17:15:02
297972,17:15:12
299058,17:15:22
299046,17:15:32
296262,17:15:42
301260,17:15:52
296700,17:16:02
300264,17:16:12
301164,17:16:22
300840,17:16:32
295758,17:16:42
296388,17:16:52
300528,17:17:02
303690,17:17:12
295656,17:17:22
301812,17:17:32
298968,17:17:42
295896,17:17:52
291624,17:18:02
18180,17:18:12
