tpm,timestamp
111936,15:28:58
90390,15:29:08
106506,15:29:18
98532,15:29:28
111834,15:29:39
111090,15:29:49
94872,15:29:59
92910,15:30:09
94410,15:30:19
96318,15:30:29
75792,15:30:39
71484,15:30:49
67590,15:30:59
64368,15:31:09
66384,15:31:19
64770,15:31:29
53412,15:31:39
52884,15:31:49
52950,15:31:59
47136,15:32:09
44004,15:32:19
51186,15:32:29
45330,15:32:39
44634,15:32:49
45384,15:32:59
50910,15:33:09
50952,15:33:19
49668,15:33:29
49014,15:33:39
51048,15:33:49
51402,15:33:59
53820,15:34:09
49122,15:34:19
44532,15:34:29
53328,15:34:39
48732,15:34:49
38766,15:34:59
43122,15:35:09
48090,15:35:19
44736,15:35:29
44334,15:35:39
51348,15:35:49
40686,15:35:59
49098,15:36:09
48150,15:36:19
43512,15:36:29
45858,15:36:39
61356,15:36:49
47082,15:36:59
50502,15:37:09
51240,15:37:19
43902,15:37:29
50754,15:37:39
45750,15:37:49
48108,15:37:59
52218,15:38:09
53916,15:38:19
45246,15:38:29
52752,15:38:39
55314,15:38:49
17376,15:38:59
