tpm,timestamp
146748,16:05:13
146418,16:05:23
141516,16:05:33
73926,16:05:43
152166,16:05:53
168000,16:06:03
70530,16:06:13
133290,16:06:23
130026,16:06:33
89532,16:06:43
56400,16:06:53
88344,16:07:03
109632,16:07:13
88782,16:07:23
62640,16:07:33
51792,16:07:43
87090,16:07:53
100548,16:08:03
90042,16:08:13
58986,16:08:23
49968,16:08:33
80736,16:08:43
100170,16:08:53
89460,16:09:03
70236,16:09:13
53796,16:09:23
73716,16:09:33
110868,16:09:43
84618,16:09:53
70386,16:10:03
50664,16:10:13
73476,16:10:23
102678,16:10:33
92274,16:10:43
74202,16:10:53
41742,16:11:03
76818,16:11:13
88818,16:11:23
107802,16:11:33
78324,16:11:43
42972,16:11:53
64506,16:12:03
72570,16:12:13
98280,16:12:23
91182,16:12:33
49146,16:12:43
66468,16:12:53
71124,16:13:03
86502,16:13:13
92082,16:13:23
68928,16:13:33
51240,16:13:43
72732,16:13:53
89454,16:14:03
94080,16:14:13
76818,16:14:23
42804,16:14:33
77004,16:14:43
87972,16:14:53
93552,16:15:03
35544,16:15:13
