Database,VU,NOPM
MariaDB,2,35232
MariaDB,4,21589
MariaDB,8,44419
MariaDB,12,33340
MySQL,2,31289
MySQL,4,46999
MySQL,8,50505
MySQL,12,45986
PostgreSQL,2,90879
PostgreSQL,4,116515
PostgreSQL,8,41093
PostgreSQL,12,25285
