tpm,timestamp
91434,15:15:24
101406,15:15:34
102900,15:15:44
56016,15:15:54
102714,15:16:04
102894,15:16:14
94248,15:16:24
39462,15:16:34
69678,15:16:44
89340,15:16:54
89772,15:17:04
90288,15:17:14
35316,15:17:24
78606,15:17:34
90594,15:17:44
88344,15:17:54
79176,15:18:04
39972,15:18:14
89310,15:18:24
101166,15:18:34
102312,15:18:44
59538,15:18:54
63774,15:19:04
100950,15:19:14
101940,15:19:24
81774,15:19:35
47550,15:19:45
101814,15:19:55
99744,15:20:05
101976,15:20:15
39012,15:20:25
90570,15:20:35
97764,15:20:45
97608,15:20:55
66426,15:21:05
66516,15:21:15
103194,15:21:25
102450,15:21:35
88224,15:21:45
33732,15:21:55
80760,15:22:05
101652,15:22:15
98082,15:22:25
68898,15:22:35
48120,15:22:45
102114,15:22:55
101370,15:23:05
101736,15:23:15
52242,15:23:25
69006,15:23:35
94278,15:23:45
96402,15:23:55
84456,15:24:05
33978,15:24:15
95958,15:24:25
99810,15:24:35
103038,15:24:45
52794,15:24:55
94014,15:25:05
102678,15:25:15
11286,15:26:20
