tpm,timestamp
46380,16:06:38
92166,16:06:48
134496,16:06:58
144126,16:07:08
152640,16:07:18
119478,16:07:31
160998,16:07:39
115476,16:07:49
243576,16:07:59
218766,16:08:12
36732,16:08:22
138222,16:08:32
215694,16:08:42
45558,16:08:53
121266,16:09:03
139176,16:09:13
18,16:09:23
103494,16:09:33
104232,16:09:43
186264,16:09:53
109998,16:10:03
81594,16:10:13
232002,16:10:24
131658,16:10:34
63240,16:10:44
219198,16:10:54
138456,16:11:04
193338,16:11:15
150024,16:11:28
145122,16:11:38
210540,16:11:48
82224,16:11:58
149190,16:12:08
118650,16:12:19
128376,16:12:29
220824,16:12:39
134928,16:12:49
258282,16:12:59
323100,16:13:10
35808,16:13:20
96702,16:13:30
166050,16:13:40
49662,16:13:50
267096,16:14:01
169938,16:14:23
200028,16:14:33
129792,16:14:43
188070,16:14:53
270594,16:15:03
292320,16:15:14
152652,16:15:24
84276,16:15:36
222516,16:15:44
181596,16:15:54
178638,16:16:04
293376,16:16:15
67314,16:16:25
187566,16:16:35
93588,16:16:45
12,16:17:50
6,16:17:50
6,16:17:50
6,16:17:50
6,16:17:50
6,16:17:50
