tpm,timestamp
124386,15:46:39
154416,15:46:49
89304,15:46:59
37962,15:47:10
163560,15:47:20
86496,15:47:30
98352,15:47:40
61056,15:47:50
87402,15:48:00
36000,15:48:10
92004,15:48:20
92292,15:48:31
82194,15:48:41
85176,15:48:51
87072,15:49:01
91278,15:49:11
84282,15:49:21
86436,15:49:31
39246,15:49:42
84396,15:49:52
84594,15:50:02
84168,15:50:12
85086,15:50:22
81144,15:50:32
74766,15:50:42
85362,15:50:52
81840,15:51:03
57252,15:51:13
73542,15:51:23
91278,15:51:33
82170,15:51:43
80736,15:51:53
83880,15:52:03
79542,15:52:13
89592,15:52:24
81786,15:52:34
58980,15:52:44
58674,15:52:54
83652,15:53:04
91326,15:53:14
80070,15:53:24
83430,15:53:35
82368,15:53:45
53328,15:53:55
75390,15:54:05
85656,15:54:15
35262,15:54:25
85314,15:54:35
84174,15:54:45
90090,15:54:56
82710,15:55:06
87696,15:55:16
83454,15:55:26
87642,15:55:36
82362,15:55:46
45234,15:55:56
66792,15:56:06
86844,15:56:17
84846,15:56:27
50130,15:56:37
