Timestamp,CPU_Usage_Percent,RAM_Used_MB 
2025-06-07_02:14:26,82,14728 
2025-06-07_02:14:37,83,14777 
2025-06-07_02:14:48,70,14779 
2025-06-07_02:14:59,87,14780 
2025-06-07_02:15:10,76,14754 
2025-06-07_02:15:21,91,14751 
2025-06-07_02:15:32,82,14757 
2025-06-07_02:15:43,83,14753 
2025-06-07_02:15:54,82,14775 
2025-06-07_02:16:05,87,14786 
2025-06-07_02:16:16,82,14787 
2025-06-07_02:16:27,84,14782 
2025-06-07_02:16:38,83,14770 
2025-06-07_02:16:49,84,14770 
2025-06-07_02:17:00,91,14862 
2025-06-07_02:17:11,90,14857 
2025-06-07_02:17:22,83,14852 
2025-06-07_02:17:33,85,14863 
2025-06-07_02:17:44,1,14597 
2025-06-07_02:17:55,,14584 
2025-06-07_02:18:06,1,14609 
2025-06-07_02:18:17,87,14607 
2025-06-07_02:18:28,83,14700 
2025-06-07_02:18:39,81,14678 
2025-06-07_02:18:50,86,14645 
2025-06-07_02:19:01,76,14654 
2025-06-07_02:19:12,85,14645 
2025-06-07_02:19:23,77,14662 
2025-06-07_02:19:34,88,14660 
2025-06-07_02:19:45,83,14640 
2025-06-07_02:19:56,80,14663 
2025-06-07_02:20:07,85,14689 
2025-06-07_02:20:18,82,14684 
2025-06-07_02:20:29,6,14662 
2025-06-07_02:20:40,5,14587 
2025-06-07_02:20:51,1,14603 
2025-06-07_02:21:02,3,14364 
2025-06-07_02:21:13,3,14352 
2025-06-07_02:21:24,2,14365 
2025-06-07_02:21:35,7,14366 
2025-06-07_02:21:46,15,14506 
2025-06-07_02:21:57,2,14510 
2025-06-07_02:22:08,0,14499 
2025-06-07_02:22:19,91,14478 
2025-06-07_02:22:31,83,14488 
2025-06-07_02:22:42,88,14479 
2025-06-07_02:22:53,76,14536 
2025-06-07_02:23:04,83,14564 
2025-06-07_02:23:16,74,14592 
2025-06-07_02:23:28,79,14604 
2025-06-07_02:23:40,86,14559 
2025-06-07_02:23:51,79,14576 
2025-06-07_02:24:02,74,14580 
2025-06-07_02:24:13,80,14596 
2025-06-07_02:24:24,96,14592 
2025-06-07_02:24:36,84,14613 
2025-06-07_02:24:47,85,14616 
2025-06-07_02:24:58,3,14616 
2025-06-07_02:25:09,70,14636 
2025-06-07_02:25:21,83,14648 
2025-06-07_02:25:32,68,14649 
2025-06-07_02:25:43,,14653 
2025-06-07_02:25:54,5,14646 
2025-06-07_02:26:05,3,14552 
2025-06-07_02:26:16,83,14615 
2025-06-07_02:26:27,90,14622 
2025-06-07_02:26:38,87,14633 
2025-06-07_02:26:49,74,14618 
2025-06-07_02:27:01,85,14624 
2025-06-07_02:27:12,76,14625 
2025-06-07_02:27:23,71,14628 
2025-06-07_02:27:35,69,14636 
2025-06-07_02:27:46,83,14657 
2025-06-07_02:27:57,76,14661 
2025-06-07_02:28:08,71,14668 
2025-06-07_02:28:19,79,14629 
2025-06-07_02:28:30,87,14654 
2025-06-07_02:28:42,77,14639 
2025-06-07_02:28:53,79,14650 
2025-06-07_02:29:04,83,14653 
2025-06-07_02:29:15,71,14664 
2025-06-07_02:29:26,76,14676 
2025-06-07_02:29:37,70,14685 
2025-06-07_02:29:48,4,14688 
2025-06-07_02:29:59,49,14935 
2025-06-07_02:30:11,90,14796 
2025-06-07_02:30:23,82,14801 
2025-06-07_02:30:35,76,14797 
2025-06-07_02:30:46,84,14811 
2025-06-07_02:30:57,68,14805 
2025-06-07_02:31:08,85,14774 
2025-06-07_02:31:19,74,14722 
2025-06-07_02:31:30,71,14721 
2025-06-07_02:31:41,84,14717 
2025-06-07_02:31:52,85,14727 
2025-06-07_02:32:03,80,14712 
2025-06-07_02:32:14,83,14715 
2025-06-07_02:32:25,82,14726 
2025-06-07_02:32:36,79,14731 
2025-06-07_02:32:48,82,14747 
2025-06-07_02:33:00,79,14732 
2025-06-07_02:33:11,84,14710 
2025-06-07_02:33:22,76,14730 
2025-06-07_02:33:34,83,14738 
2025-06-07_02:33:46,2,14738 
2025-06-07_02:33:58,7,14749 
2025-06-07_02:34:09,4,14728 
2025-06-07_02:34:21,83,14744 
2025-06-07_02:34:33,93,14742 
2025-06-07_02:34:45,85,14816 
2025-06-07_02:34:57,63,14848 
2025-06-07_02:35:08,6,14796 
2025-06-07_02:35:19,1,14772 
2025-06-07_02:35:30,2,14697 
2025-06-07_02:35:41,7,14613 
2025-06-07_02:35:52,2,14606 
2025-06-07_02:36:03,2,14624 
2025-06-07_02:36:14,,14617 
2025-06-07_02:36:25,1,14561 
2025-06-07_02:36:37,10,14502 
2025-06-07_02:36:48,3,13773 
