Database,VU,NOPM
MariaDB,2,59907
MariaDB,4,97656
MariaDB,8,118094
MariaDB,12,118812
MySQL,2,59687
MySQL,4,87309
MySQL,8,113895
MySQL,12,129802
PostgreSQL,2,81606
PostgreSQL,4,136086
PostgreSQL,8,143923
PostgreSQL,12,123776
