tpm,timestamp
467064,14:37:21
594402,14:37:31
528654,14:37:41
494994,14:37:51
507558,14:38:01
494526,14:38:11
521364,14:38:21
524796,14:38:31
499500,14:38:41
341106,14:38:51
352926,14:39:01
481206,14:39:11
506802,14:39:21
512382,14:39:31
506646,14:39:41
452382,14:39:51
475278,14:40:01
482496,14:40:11
473760,14:40:21
442278,14:40:31
425328,14:40:41
327954,14:40:51
393330,14:41:01
387966,14:41:11
382752,14:41:21
431904,14:41:31
509598,14:41:41
411528,14:41:51
349596,14:42:01
485952,14:42:11
480588,14:42:21
508926,14:42:31
490344,14:42:41
410898,14:42:51
376002,14:43:01
383094,14:43:11
455052,14:43:21
459588,14:43:31
446010,14:43:41
381864,14:43:51
292392,14:44:01
345894,14:44:11
388296,14:44:21
435282,14:44:31
430416,14:44:41
324756,14:44:51
169440,14:45:01
10602,14:45:11
9690,14:45:21
11040,14:45:31
12732,14:45:41
11334,14:45:51
13602,14:46:01
12162,14:46:11
13050,14:46:21
11874,14:46:31
12006,14:46:41
11832,14:46:51
34026,14:47:01
110604,14:47:11
22734,14:47:21
354,14:47:31
6,14:48:36
78,14:48:36
6,14:48:36
18,14:48:36
6,14:48:36
18,14:48:36
