Timestamp,CPU_Usage_Percent,RAM_Used_MB 
2025-06-07_15:55:08,93,15342 
2025-06-07_15:55:20,73,15408 
2025-06-07_15:55:32,86,15367 
2025-06-07_15:55:44,85,15381 
2025-06-07_15:55:56,71,15329 
2025-06-07_15:56:08,43,15425 
2025-06-07_15:56:19,77,15393 
2025-06-07_15:56:31,69,15441 
2025-06-07_15:56:43,76,15419 
2025-06-07_15:56:54,45,15457 
2025-06-07_15:57:05,57,15390 
2025-06-07_15:57:17,80,15416 
2025-06-07_15:57:28,80,15371 
2025-06-07_15:57:40,79,15448 
2025-06-07_15:57:51,1,15448 
2025-06-07_15:58:02,1,15443 
2025-06-07_15:58:14,71,15414 
2025-06-07_15:58:25,73,15502 
2025-06-07_15:58:36,88,15463 
2025-06-07_15:58:48,91,15437 
2025-06-07_15:59:00,74,15461 
2025-06-07_15:59:12,76,15473 
2025-06-07_15:59:24,83,15466 
2025-06-07_15:59:36,82,15418 
2025-06-07_15:59:48,91,15526 
2025-06-07_16:00:00,60,15173 
2025-06-07_16:00:12,80,15222 
2025-06-07_16:00:23,82,15282 
2025-06-07_16:00:34,73,15276 
2025-06-07_16:00:45,82,15232 
2025-06-07_16:00:56,30,15267 
2025-06-07_16:01:07,20,15198 
2025-06-07_16:01:18,23,15194 
2025-06-07_16:01:29,26,15214 
2025-06-07_16:01:40,14,15207 
2025-06-07_16:01:51,,15210 
2025-06-07_16:02:02,,15167 
2025-06-07_16:02:13,6,15129 
2025-06-07_16:02:24,80,15137 
2025-06-07_16:02:35,64,15132 
2025-06-07_16:02:46,62,15131 
2025-06-07_16:02:57,83,15136 
2025-06-07_16:03:08,59,15133 
2025-06-07_16:03:19,74,15129 
2025-06-07_16:03:30,62,15156 
2025-06-07_16:03:41,79,15166 
2025-06-07_16:03:52,74,15166 
2025-06-07_16:04:03,90,15163 
2025-06-07_16:04:14,91,15126 
2025-06-07_16:04:26,87,15209 
2025-06-07_16:04:38,82,15121 
2025-06-07_16:04:49,74,15235 
2025-06-07_16:05:00,13,15256 
2025-06-07_16:05:11,20,15245 
2025-06-07_16:05:22,63,15388 
2025-06-07_16:05:33,74,15496 
2025-06-07_16:05:45,4,15432 
2025-06-07_16:05:57,0,15356 
2025-06-07_16:06:08,0,15376 
2025-06-07_16:06:19,74,15445 
2025-06-07_16:06:31,87,15540 
2025-06-07_16:06:43,68,15239 
2025-06-07_16:06:55,68,15316 
2025-06-07_16:07:07,70,15308 
2025-06-07_16:07:19,50,15277 
2025-06-07_16:07:30,57,15230 
2025-06-07_16:07:41,46,15205 
2025-06-07_16:07:52,62,15210 
2025-06-07_16:08:03,62,15196 
2025-06-07_16:08:14,76,15192 
2025-06-07_16:08:25,76,15139 
2025-06-07_16:08:36,52,15145 
2025-06-07_16:08:47,43,15102 
2025-06-07_16:08:59,60,15150 
2025-06-07_16:09:10,42,15086 
2025-06-07_16:09:21,38,15178 
2025-06-07_16:09:32,70,15156 
2025-06-07_16:09:44,6,15133 
2025-06-07_16:09:56,3,15127 
2025-06-07_16:10:08,0,15172 
2025-06-07_16:10:20,56,15151 
2025-06-07_16:10:31,67,15234 
2025-06-07_16:10:43,74,15167 
2025-06-07_16:10:55,71,15221 
2025-06-07_16:11:07,63,15156 
2025-06-07_16:11:19,49,15274 
2025-06-07_16:11:30,40,15251 
2025-06-07_16:11:42,50,15283 
2025-06-07_16:11:54,77,15211 
2025-06-07_16:12:06,67,15277 
2025-06-07_16:12:18,59,15272 
2025-06-07_16:12:30,59,15279 
2025-06-07_16:12:42,49,15291 
2025-06-07_16:12:53,65,15240 
2025-06-07_16:13:05,54,15267 
2025-06-07_16:13:16,62,15267 
2025-06-07_16:13:28,82,15356 
2025-06-07_16:13:40,62,15385 
2025-06-07_16:13:52,10,15295 
2025-06-07_16:14:03,6,15221 
2025-06-07_16:14:15,62,15282 
2025-06-07_16:14:27,71,15204 
2025-06-07_16:14:39,93,15211 
2025-06-07_16:14:51,68,15337 
2025-06-07_16:15:03,68,15237 
2025-06-07_16:15:15,56,15254 
2025-06-07_16:15:27,1,15158 
2025-06-07_16:15:38,27,15147 
