tpm,timestamp
273750,00:26:32
331386,00:26:42
297576,00:26:52
272328,00:27:02
277908,00:27:12
259518,00:27:22
264492,00:27:32
265134,00:27:42
266088,00:27:52
295236,00:28:02
299814,00:28:12
285354,00:28:22
267288,00:28:32
268650,00:28:42
296100,00:28:52
281916,00:29:02
267618,00:29:12
305418,00:29:22
282036,00:29:32
277878,00:29:42
290592,00:29:52
239028,00:30:02
287694,00:30:12
293424,00:30:22
292146,00:30:32
272502,00:30:42
293088,00:30:52
277770,00:31:02
294636,00:31:12
254070,00:31:22
262290,00:31:33
241698,00:31:43
261492,00:31:53
260076,00:32:03
250230,00:32:13
279876,00:32:23
306534,00:32:33
293430,00:32:43
276594,00:32:53
278760,00:33:03
256482,00:33:13
256500,00:33:23
267156,00:33:33
299430,00:33:43
288492,00:33:53
265392,00:34:03
284214,00:34:13
253734,00:34:23
243168,00:34:33
269466,00:34:43
260136,00:34:53
297180,00:35:03
297036,00:35:13
279192,00:35:23
281838,00:35:33
263850,00:35:43
260670,00:35:53
291618,00:36:03
295782,00:36:13
301734,00:36:23
21096,00:36:33
