tpm,timestamp
222312,01:10:29
247854,01:10:39
246138,01:10:49
248034,01:10:59
256548,01:11:09
261678,01:11:19
263778,01:11:29
256866,01:11:39
263430,01:11:49
256956,01:11:59
259962,01:12:10
262488,01:12:20
259740,01:12:30
258768,01:12:40
265116,01:12:50
262164,01:13:00
267240,01:13:10
264564,01:13:20
265752,01:13:30
270216,01:13:40
268008,01:13:50
266238,01:14:00
265908,01:14:10
265584,01:14:20
265980,01:14:30
263982,01:14:40
264138,01:14:50
267264,01:15:00
267966,01:15:10
266184,01:15:20
268464,01:15:30
263160,01:15:40
268902,01:15:50
263208,01:16:00
263802,01:16:10
265158,01:16:20
263160,01:16:30
264552,01:16:40
261006,01:16:50
262434,01:17:00
264138,01:17:10
266124,01:17:20
265542,01:17:30
262794,01:17:40
266430,01:17:50
261612,01:18:00
263286,01:18:10
264666,01:18:20
264942,01:18:30
265122,01:18:40
265560,01:18:50
263034,01:19:00
266352,01:19:10
261486,01:19:20
257556,01:19:30
267144,01:19:40
268830,01:19:50
263676,01:20:00
264936,01:20:10
258846,01:20:20
13926,01:20:30
